"cod_prd_ref";"note_ref";"Indicateur_moyen_Brut";"PourcNote";"PourcNoteCohorte";"PourcNoteCohorte5"
"        2017T4";2;0,398982469;0,0155254777070064;0,15482657751776;0,318025751072961
"        2017T4";3;0,613698068;0,0125438554332677;0,0545340576681989;0,112017167381974
"        2017T4";4;0,745282751;0,0136308032853731;0,0488926034266611;0,100429184549356
"        2017T4";5;0,934983047;0,0103716066623523;0,127246134559131;0,26137339055794
"        2017T4";6;1,05;0,0168078728733524;0,513163393230255;0
"        2018T1";1;0,07773495;0,0168421052631579;0,0983182406209573;0,190794979079498
"        2018T1";2;0,411158411;0,0159654710023466;0,164294954721863;0,318828451882845
"        2018T1";3;0,626333442;0,0130244629211323;0,0584303579128935;0,113389121338912
"        2018T1";4;0,651010442;0,0157861012407526;0,0584303579128935;0,113389121338912
"        2018T1";5;0,961987099;0,0107292482713989;0,135834411384217;0,263598326359833
"        2018T1";6;1,05;0,015384404812417;0,484691677447176;0
"        2018T2";1;0,106975233;0,0176546629732225;0,102928509905254;0,205062205062205
"        2018T2";2;0,384603251;0,0166987931612471;0,171619293712317;0,341913341913342
"        2018T2";3;0,608003215;0,0119671264478301;0,0536175710594315;0,106821106821107
"        2018T2";4;0,637913089;0,0145628240228345;0,053832902670112;0,107250107250107
"        2018T2";5;0,926850881;0,00948601791614156;0,119939707149009;0,238953238953239
"        2018T2";6;1,05;0,0158292385814593;0,498062015503876;0
"        2018T3";1;0,165378037;0,0162880886426593;0,103424015009381;0,202108157653529
"        2018T3";2;0,547487682;0,015420717398592;0,172607879924953;0,33730522456462
"        2018T3";3;0,556169697;0,0116307012063248;0,0567542213883677;0,110907424381302
"        2018T3";4;0,727222275;0,0124657773635463;0,050187617260788;0,0980751604032997
"        2018T3";5;0,928490849;0,0093497734936476;0,12875234521576;0,25160403299725
"        2018T3";6;1,05;0,0142483678022474;0,48827392120075;0
"        2018T4";1;0,236193987;0,0176915974145891;0,105251593056471;0,199833124739257
"        2018T4";2;0,470765511;0,0174530673818304;0,183036695231817;0,347517730496454
"        2018T4";3;0,614683518;0,0111981544672466;0,0511975390024171;0,0972048393825615
"        2018T4";4;0,639045856;0,0122910234752723;0,046363436607339;0,0880267000417188
"        2018T4";5;0,945836214;0,0109165843523281;0,140848165238409;0,267417605340008
"        2018T4";6;1,05;0,0147411067464174;0,473302570863546;0
"        2019T1";1;0,24192977;0,0162142197599261;0,106372667797432;0,203146691346599
"        2019T1";2;0,408859973;0,0145197787462286;0,167918584928519;0,320684868116613
"        2019T1";3;0,680273428;0,0108617292257413;0,0547613278410468;0,104581212401666
"        2019T1";4;0,799170946;0,0114755053299936;0,047734431790647;0,0911614993058769
"        2019T1";5;0,950079895;0,010320515003917;0,14683789677732;0,280425728829246
"        2019T1";6;1,05;0,0134545106144181;0,476375090865035;0
"        2019T2";1;0,102978211;0,0134441366574331;0,0943249546514641;0,175760502172863
"        2019T2";2;0,357935099;0,0143521622527657;0,177507126198497;0,330758087880251
"        2019T2";3;0,649990778;0,00932378526457442;0,0502720912153408;0,0936745533558667
"        2019T2";4;0,573372363;0,0128152851400944;0,0570095879761596;0,106228874939643
"        2019T2";5;0,953057875;0,0103545761095405;0,157553770406841;0,293577981651376
"        2019T2";6;1,05;0,0122363504468868;0,463332469551697;0
"        2019T3";1;0,140847165;0,0141828254847645;0,0934533949866147;0,175985334555454
"        2019T3";2;0,485078585;0,0154416694602749;0,179362375273789;0,337763519706691
"        2019T3";3;0,486788199;0,0108136684769549;0,0547578486249696;0,103116406966086
"        2019T3";4;0,603027317;0,0113007514417196;0,0472134339255293;0,0889092575618698
"        2019T3";5;1,007829671;0,0109336149051398;0,156242394743247;0,294225481209899
"        2019T3";6;1,05;0,0131876103529927;0,468970552445851;0
"        2019T4";1;0,380507913;0,0168790397045245;0,106900584795322;0,19546621043627
"        2019T4";2;0,425690961;0,0151273885350318;0,168888888888889;0,308810949529512
"        2019T4";3;0,513218065;0,0118229442014707;0,0575438596491228;0,105218135158255
"        2019T4";4;0,849427315;0,0108347410729889;0,0435087719298246;0,0795551753635586
"        2019T4";5;0,969353787;0,0123812118941381;0,170058479532164;0,310949529512404
"        2019T4";6;1,05;0,0132560463174608;0,453099415204678;0
"        2020T1";1;0,363113231;0,0169529085872576;0,106004618937644;0,205185516316495
"        2020T1";2;0,499420226;0,0151902447200805;0,16743648960739;0,324094769780957
